EQUIPE,JOGADOR,POSICAO,ID,Q,TEMPO,MOMENTO,DURACAO,FUNDAMENTO
Atlético-GO,Janderson,Atacante,46563804,31,2,666,2,passe
Atlético-GO,Chico,Meia,46563715,9,2,617,2,faltaRecebida
Atlético-GO,Éder Ferreira,Zagueiro,46563702,9,2,614,2,passe
Atlético-MG,Réver,Zagueiro,46563662,17,2,594,2,passe
Atlético-MG,Guga,Lateral direito,46563604,6,2,571,2,passe
Atlético-MG,Alan Franco,Meia,46563583,35,2,556,2,perdaPosseDeBola
Atlético-GO,Chico,Meia,46563490,28,2,525,2,passe
Atlético-GO,Oliveira,Zagueiro,46563482,23,2,522,2,passe
Atlético-GO,Renato Kayzer,Atacante,46563476,23,2,520,2,passe
Atlético-MG,Junior Alonso,Lateral esquerdo,46563438,7,2,505,2,passe
Atlético-MG,Keno,Atacante,46563377,28,2,474,2,impedimento
Atlético-GO,Jean,Goleiro,46563347,3,2,457,2,passe
Atlético-GO,Gustavo Ferrareis,Meia,46563289,20,2,437,2,passe
Atlético-GO,Janderson,Atacante,46563273,20,2,430,2,faltaRecebida
Atlético-MG,Guilherme Arana,Lateral esquerdo,46563067,2,2,353,2,defesa
Atlético-MG,Alan Franco,Meia,46563042,4,2,344,2,rebatida
Atlético-GO,Gustavo Ferrareis,Meia,46563036,30,2,341,2,passe
